Publication Number,B60K6_48,Y02T10_6221,B60K6_387,B60K6_405,B60K2006_4825,Y02T10_6252,B60K6_42,B60K6_02,B60K6_26,B60K6_365,B60K6_547,B60K17_02,B60K6_40,B60K6_485,H02K7_108,H02K51_00,Y10S903_902,F16H3_66,F16D25_0638,H02K7_006
FR2832475B1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
US20190176607A1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
US6388348,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
US10183567,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
EP0857371A1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0
DE10245855B4,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
US20060289209A1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
US6311495,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1
EP3046793A1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
EP1069310B1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0
USR36678,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0
WO2017057190A1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
WO2018113840A1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
US9222524,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
DE10140366A1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0
US20180238439A1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0
US6492742,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1
EP2698269A3,1,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
US8297249,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
US6176808,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0
US7679238,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
WO2018181352A1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
US10272762,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
WO2002085659A1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
DE10120174A1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
EP1870273B1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
WO2015004962A1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1
US20190047398A1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
US9527375,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
US10246082,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
US9517689,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
US10279796,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
WO2018197109A1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
US10252608,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
US9573457,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
US9677646,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
US10160305,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
US9579964,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
US20180093559A1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
US10378616,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
US10253851,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
US9969254,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0
US6155364,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0
US20190210450A1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1
JP1999178557A,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1
US6116364,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1
WO2001010664A1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
US6457314,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1
EP2865551A3,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1
US8863926,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
US9162667,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0
FR2836425B1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1
US9604530,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
US5755302,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
US9051976,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
US6607048,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0
US10350984,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
US9027726,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
DE3227810C2,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1
US20180215248A1,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
EP1976749A1,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0
US8836187,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
DE3737229C2,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
US20190031022A1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
US8978799,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
US5833022,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
US7489114,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
US8997956,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
US8636091,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
US10023184,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
EP0727332A1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
US9878605,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
DE3320950C2,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
EP2244899B1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
US9086126,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
US6655484,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
US9327713,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
US6612963,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
US6569054,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0
FR2782958B1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0
US8845484,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0
US7753149,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
US9505297,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
US10232845,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
US8834314,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
WO2018069439A3,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
US6159127,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0
US10266046,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0
DE3230121A1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
FR2833538B1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0
KR100596350B1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
US6506139,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
US5856709,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
US9050882,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0
US6966860,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0
US20080173487A1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0
FR2836193B1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
US20190092316A1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
US20190126738A1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1
US6184603,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
US20040055800A1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1
EP0846065B1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
US6483197,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
US20170037955A1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1
FR2832358B1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0
US20190283565A1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
US6531795,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
FR2867625A1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
US6729423,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
EP1459424B1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
DE10109093B4,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
WO2019102098A3,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
US6777837,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0
US7325637,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
US6217476,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
EP0984548B1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
US6373155,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
US20040041402A1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
US20180278122A1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
GB2509084B,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
WO2014202067A3,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
WO2019102099A3,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
US20150217632A1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
US7372223,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1
US20180201118A1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
US20170267092A1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0
FR2782355B1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
US20190070948A1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
WO2019114855A1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
CN109278527A,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
US10071623,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
US9718344,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
US10384526,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
US20190241057A1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
JP3141262B2,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0
US10308105,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DE19655301B4,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0
WO2012018027A1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
FR3005903B1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0
FR3005904B1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0
FR3005902B1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0
FR3005905B1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0
US8991576,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
WO2003091601A1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
US6308794,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FR3005900B1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
US10259307,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
US9539890,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
WO1999032322A1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
CN109278528A,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
US6332257,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
EP2900506B1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
US20180362020A1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
WO2009050066A1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1
WO2017168377A8,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
CN109278533A,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
CN109278535A,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
CN109278530A,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
US9193255,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
US9937920,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
US7448975,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
US9939031,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
US6628021,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1
CN109278532A,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
EP1377473B1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
US6499549,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
US9358870,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
DE102011117781A1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
US20180236867A1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
US6935450,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1
US10137886,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
US9790998,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
JP5605710B2,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0
DE3243513C2,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
DE19735021B4,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
US9956953,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
DE10225250A1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
US5875691,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
US10343676,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
US10232841,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
US20050107198A1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
US5427196,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
US6364042,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
DE4211586A1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
CN108016285A,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0
US9644531,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
WO2005047040A1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
US10272906,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
US5730675,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0
US10189478,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
US9636986,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
US9387753,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
US9987916,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
WO2014092042A1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
US10040445,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
EP3290247B1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US9937914,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
US9944289,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US6849026,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
US9586470,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
NL1019200C,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
US20050101432A1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
US7093511,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
US6974402,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
WO2007085359A1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
DE19945474A1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
US6867509,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0
US7537534,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
DE102005039928B4,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
US20180319266A1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
US9764630,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
US9517763,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
US5895333,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
DE102005039920B4,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
US20190210446A1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
DE10043510A1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0
WO2018054717A1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
US10315502,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
US10406908,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
EP3093174A1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
EP3218217A1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
US7244208,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
WO2018113831A1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
US20180319264A1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
US7941259,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
US9944166,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
US7261665,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
WO2001047089A3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1
FR2847014B1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0
US6365983,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0
US6798104,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1
US6358173,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0
US5917248,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0
US5744895,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0
US1515322,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0
US6022287,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0
US9834083,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
DE10246839A1,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1
US7235029,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0
US10183570,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
US20190273410A1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
DE19909424A1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
US9683658,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
US10286771,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
US6852053,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0
US20170129322A1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
US9630487,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
US6464028,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0
US7661495,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
