Publication Number,B60K6/48,Y02T10/6221,B60K6/387,B60K6/405,B60K2006/4825,Y02T10/6252,B60K6/42
DE102015222042A1,0,0,0,0,1,1,0
DE102012217034A1,0,0,0,0,1,1,0
WO2013008566A1,0,0,0,0,1,1,0
DE102010046138A1,0,0,0,0,1,1,0
US20160109010A1,0,0,0,0,1,1,0
US10099681,0,0,0,0,1,1,0
US20140163827A1,0,0,0,0,1,1,0
DE102012224211A1,0,0,0,0,1,1,0
EP3458293A1,0,0,0,0,1,1,0
DE102016211519A1,0,0,0,0,1,1,0
DE102012217507A1,0,0,0,0,1,1,0
DE102012217049A1,0,0,0,0,1,1,0
DE102014221404A1,0,0,0,0,1,1,0
US9283957,0,0,0,0,1,1,0
US9705353,0,0,0,0,1,1,0
CN103381823B,0,0,0,0,1,1,0
DE202015105572U1,0,0,0,0,1,1,0
US20190186622A1,0,0,1,1,0,0,0
US7678003,0,0,1,1,0,0,0
US7811190,0,0,1,1,0,0,0
DE102015214759A1,0,0,0,0,1,1,0
US20170259803A1,0,0,0,0,1,1,0
DE102014111515A1,0,0,0,0,1,1,0
DE102012202492A1,0,0,0,0,1,1,0
US20150183438A1,0,0,0,0,1,1,0
DE102012218119A1,0,0,0,0,1,1,0
US8894540,0,0,0,0,1,1,0
CN103381829B,0,0,0,0,1,1,0
US9616757,0,0,0,0,1,1,0
AU2002344963A1,1,0,0,1,0,0,0
JP1996088905A,1,0,0,1,0,0,0
US6460642,1,0,0,1,0,0,0
JP6098619B2,1,0,0,1,0,0,0
JP2006160096A,1,0,0,1,0,0,0
JP6028899B2,1,0,0,1,0,0,0
JP6583368B2,1,0,0,1,0,0,0
JP2019039347A,1,0,0,1,0,0,0
JP2589319Y2,1,0,0,1,0,0,0
JP2001246950A,1,0,0,1,0,0,0
JP1992317542A,1,0,0,1,0,0,0
JP2009512418A,1,0,0,1,0,0,0
JP2000224797A,1,0,0,1,0,0,0
EP2902238A1,1,0,0,1,0,0,0
JP5677340B2,1,0,0,1,0,0,0
AU2001284575A1,1,0,0,1,0,0,0
JP3724319B2,1,0,0,1,0,0,0
JP2018202934A,1,0,0,1,0,0,0
JP3591354B2,1,0,0,1,0,0,0
US10421350,0,0,1,0,0,0,0
US10308239,0,0,1,0,0,0,0
US10081355,0,0,1,0,0,0,0
US20190193719A1,0,0,1,0,0,0,0
US9156346,0,0,1,0,0,0,0
US10065634,0,0,1,0,0,0,0
US20190270373A1,0,0,1,0,0,0,0
US9441708,0,0,1,0,0,0,0
US9186977,0,0,1,0,0,0,0
DE102015211436A1,0,0,1,0,0,0,0
CN106274443A,0,0,1,0,0,0,0
US10352378,0,0,1,0,0,0,0
US20170282702A1,0,0,1,0,0,0,0
DE102013210366A1,0,0,1,0,0,0,0
US6793034,0,0,1,0,0,0,0
DE102016212901B4,0,0,1,0,0,0,0
US20190242460A1,0,0,1,0,0,0,0
CN108058589A,0,0,1,0,0,0,0
DE102014208490A1,0,0,1,0,0,0,0
US9677655,0,0,1,0,0,0,0
CN107097628A,0,0,1,0,0,0,0
WO2019111456A1,0,0,1,0,0,0,0
US9211886,0,0,1,0,0,0,0
US20190111910A1,0,0,1,0,0,0,0
US9636991,0,0,1,0,0,0,0
US9315095,0,0,1,0,0,0,0
US10308234,0,0,1,0,0,0,0
US20190184969A1,0,0,1,0,0,0,0
US10351123,0,0,1,0,0,0,0
US7222686,0,0,1,0,0,0,0
DE102018000565A1,0,0,1,0,0,0,0
WO2019070720A1,0,0,1,0,0,0,0
US9731711,0,0,1,0,0,0,0
US9593468,0,0,1,0,0,0,0
US20180031085A1,0,0,1,0,0,0,0
DE102007051506A1,0,0,1,0,0,0,0
US20190178350A1,0,0,1,0,0,0,0
DE102017126838A1,0,0,1,0,0,0,0
WO2019050950A1,0,0,1,0,0,0,0
US9440642,0,0,1,0,0,0,0
WO2019046758A1,0,0,1,0,0,0,0
EP3319828A1,0,0,1,0,0,0,0
WO2019097129A1,0,0,1,0,0,0,0
US10011271,0,0,1,0,0,0,0
EP3319829A1,0,0,1,0,0,0,0
US9533679,0,0,1,0,0,0,0
CN108944908A,0,0,1,0,0,0,0
WO2018162535A1,0,0,1,0,0,0,0
US20170370446A1,0,0,1,0,0,0,0
US9505296,0,0,1,0,0,0,0
US20150047915A1,0,0,1,0,0,0,0
US20170101086A1,0,0,1,0,0,0,0
US8915822,0,0,1,0,0,0,0
DE102017127112A1,0,0,1,0,0,0,0
FR2783763B1,0,0,1,0,0,0,0
US9340098,0,0,1,0,0,0,0
US20190128339A1,0,0,1,0,0,0,0
US20190202437A1,0,0,1,0,0,0,0
US9221454,0,0,1,0,0,0,0
US9193253,0,0,1,0,0,0,0
CN105564214A,0,0,1,0,0,0,0
CN109318698A,0,0,1,0,0,0,0
EP3001067B1,0,0,1,0,0,0,0
US20180238401A1,0,0,1,0,0,0,0
US9683635,0,0,1,0,0,0,0
US20170363180A1,0,0,1,0,0,0,0
US20180208041A1,0,0,1,0,0,0,0
US10208815,0,0,1,0,0,0,0
US10150466,0,0,1,0,0,0,0
KR101646376B1,1,0,0,0,0,0,1
US8191660,1,0,0,0,0,0,1
US20110098151A1,1,0,0,0,0,0,1
DE102010010578B4,1,0,0,0,0,0,1
US7857080,1,0,0,0,0,0,1
US20190299969A1,0,0,1,0,0,0,0
US10399429,0,0,1,0,0,0,0
US20190039449A1,0,0,1,0,0,0,0
WO2019154455A1,0,0,1,0,0,0,0
CN106143111A,0,0,1,0,0,0,0
US9827973,0,0,1,0,0,0,0
US9605414,0,0,1,0,0,0,0
US9841069,0,0,1,0,0,0,0
US9849873,0,0,1,0,0,0,0
US20180244144A1,0,0,1,0,0,0,0
US6325736,0,0,1,0,0,0,0
US9981666,0,0,1,0,0,0,0
US20180345781A1,0,0,1,0,0,0,0
WO2019001709A1,0,0,1,0,0,0,0
US20190168600A1,0,0,1,0,0,0,0
US8055415,0,0,1,0,0,0,0
FR2847015B1,0,0,1,0,0,0,0
DE102016215823A1,0,0,1,0,0,0,0
US9193349,0,0,1,0,0,0,0
US20080227576A1,0,0,1,0,0,0,0
US9139079,0,0,1,0,0,0,0
US10384665,0,0,1,0,0,0,0
US20190160936A1,0,0,1,0,0,0,0
EP2834096B1,0,0,1,0,0,0,0
DE102017112712A1,0,0,1,0,0,0,0
US7395837,0,0,1,0,0,0,0
US9663102,0,0,1,0,0,0,0
RU2606652C1,0,0,1,0,0,0,0
US10202113,0,0,1,0,0,0,0
US20190100092A1,0,0,1,0,0,0,0
FR2847321B1,0,0,1,0,0,0,0
US10081351,0,0,1,0,0,0,0
US20150240917A1,0,0,1,0,0,0,0
US9254740,0,0,1,0,0,0,0
JP3714345B2,0,0,1,0,0,0,0
DE102018128741A1,0,0,1,0,0,0,0
US9193252,0,0,1,0,0,0,0
WO2019114860A1,0,0,1,0,0,0,0
CN107878178A,0,0,1,0,0,0,0
US10370823,0,0,1,0,0,0,0
DE102016206967A1,0,0,1,0,0,0,0
US9834080,0,0,1,0,0,0,0
US20190128394A1,0,0,1,0,0,0,0
DE102007044107A1,0,0,1,0,0,0,0
WO2018229200A1,0,0,1,0,0,0,0
DE102010033363A1,0,0,1,0,0,0,0
CN107054053A,0,0,1,0,0,0,0
CN107215196A,0,0,1,0,0,0,0
US7010406,0,0,1,0,0,0,0
WO2008110256A1,0,0,1,0,0,0,0
WO2008122862A1,0,0,1,0,0,0,0
US10006497,0,0,1,0,0,0,0
US9518624,0,0,1,0,0,0,0
US8869653,0,0,1,0,0,0,0
US9014890,0,0,1,0,0,0,0
US9551400,0,0,1,0,0,0,0
CN106945502A,0,0,1,0,0,0,0
US7908070,0,0,1,0,0,0,0
US20190078627A1,0,0,1,0,0,0,0
US10385935,0,0,1,0,0,0,0
US9566978,0,0,1,0,0,0,0
US10351141,0,0,1,0,0,0,0
US10308233,0,0,1,0,0,0,0
WO2018030344A1,0,0,1,0,0,0,0
FR2809352B1,0,0,1,0,0,0,0
US7614973,0,0,1,0,0,0,0
WO2019034812A1,0,0,1,0,0,0,0
US4095664,0,0,1,0,0,0,0
DE102013104439A1,0,0,1,0,0,0,0
US8544575,1,0,0,0,0,0,1
WO2018103869A8,1,0,0,1,0,0,0
JP2016222118A,1,0,0,1,0,0,0
JP3676715B2,1,0,0,1,0,0,0
JP3515730B2,1,0,0,1,0,0,0
IN201647015647A,1,0,0,1,0,0,0
JP5605171B2,1,0,0,1,0,0,0
JP5508876B2,1,0,0,1,0,0,0
JP2000297641A,1,0,0,1,0,0,0
JP3678904B2,1,0,0,1,0,0,0
JP3606054B2,1,0,0,1,0,0,0
JP1979003459Y2,1,0,0,1,0,0,0
JP1999198615A,1,0,0,1,0,0,0
JP2002340135A,1,0,0,1,0,0,0
JP6565181B2,1,0,0,1,0,0,0
JP1994014444U,1,0,0,1,0,0,0
US10391849,1,0,0,1,0,0,0
AU2002258510A1,1,0,0,1,0,0,0
JP5912244B2,1,0,0,1,0,0,0
US20190291716A1,0,0,1,0,0,0,0
US20180162213A1,0,0,1,0,0,0,0
US10400862,0,0,1,0,0,0,0
GB2498785A,0,0,1,0,0,0,0
US20190263389A1,0,0,1,0,0,0,0
DE102017218576A1,0,0,1,0,0,0,0
US10124668,0,0,1,0,0,0,0
DE102017119758A1,0,0,1,0,0,0,0
US20190271362A1,0,0,1,0,0,0,0
EP2827479B1,0,0,1,0,0,0,0
CN105480075A,0,0,1,0,0,0,0
US10286898,0,0,1,0,0,0,0
US9243672,0,0,1,0,0,0,0
US9574662,0,0,1,0,0,0,0
US10293828,0,0,1,0,0,0,0
CN107487172A,0,0,1,0,0,0,0
DE102012002759A1,0,0,1,0,0,0,0
CN109421510A,0,0,1,0,0,0,0
DE102018212575A1,0,0,1,0,0,0,0
US10328797,0,0,1,0,0,0,0
WO2019115208A1,0,0,1,0,0,0,0
US9771065,0,0,1,0,0,0,0
US20190126738A1,0,0,1,0,0,0,0
US9677466,0,0,1,0,0,0,0
KR101563820B1,0,0,1,0,0,0,0
US9944165,0,0,1,0,0,0,0
WO2019120366A1,0,0,1,0,0,0,0
EP3259163A1,0,0,1,0,0,0,0
DE4434019A1,0,0,1,0,0,0,0
US20160251010A1,0,0,1,0,0,0,0
US20180313410A1,0,0,1,0,0,0,0
WO2019075497A1,0,0,1,0,0,0,0
CN107839465A,0,0,1,0,0,0,0
US9951829,0,0,1,0,0,0,0
WO2015033776A1,0,0,1,0,0,0,0
US9701304,0,0,1,0,0,0,0
US5931757,0,0,1,0,0,0,0
US8840523,0,0,1,0,0,0,0
US9724992,0,0,1,0,0,0,0
DE102014210696A1,0,0,1,0,0,0,0
US10160441,0,0,1,0,0,0,0
CN106808994A,0,0,1,0,0,0,0
CN108081943A,0,0,1,0,0,0,0
CN107160994A,0,0,1,0,0,0,0
US10189344,0,0,1,0,0,0,0
US9995390,0,0,1,0,0,0,0
US6166499,0,0,1,0,0,0,0
US10017040,0,0,1,0,0,0,0
US20160332618A1,0,0,1,0,0,0,0
EP1281557A1,0,0,1,0,0,0,0
CN109203963A,0,0,1,0,0,0,0
CN109435675A,0,0,1,0,0,0,0
US20180178779A1,0,0,1,0,0,0,0
WO2018158682A3,0,0,1,0,0,0,0
US9376009,0,0,1,0,0,0,0
DE102017217206A1,0,0,1,0,0,0,0
US9744839,0,0,1,0,0,0,0
US20190225071A1,0,0,1,0,0,0,0
US9211887,0,0,1,0,0,0,0
DE102017212898A1,0,0,1,0,0,0,0
US20190032586A1,0,0,1,0,0,0,0
US2571284,0,0,1,0,0,0,0
FR2837429B1,0,0,1,0,0,0,0
US9050971,0,0,1,0,0,0,0
US5791427,0,0,1,0,0,0,0
US9180875,0,0,1,0,0,0,0
EP2123498B1,0,0,1,0,0,0,0
US9945448,0,0,1,0,0,0,0
US10350983,0,0,1,0,0,0,0
DE102017128884A1,0,0,1,0,0,0,0
US20160101681A1,0,0,1,0,0,0,0
DE102016125064A1,0,0,1,0,0,0,0
ITUA2016002500A1,1,0,0,1,0,0,0
JP5638050B2,1,0,0,1,0,0,0
CN109641514A,1,0,0,1,0,0,0
JP3571991B2,1,0,0,1,0,0,0
JP3691719B2,1,0,0,1,0,0,0
JP3855249B2,1,0,0,1,0,0,0
JP3146709B2,1,0,0,1,0,0,0
JP2000190749A,1,0,0,1,0,0,0
JP3716807B2,1,0,0,1,0,0,0
AU2002336909A1,1,0,0,1,0,0,0
JP2018176953A,1,0,0,1,0,0,0
JP6549520B2,1,0,0,1,0,0,0
JP4214896B2,1,0,0,1,0,0,0
IN7141DELNP2015A,1,0,0,1,0,0,0
AU2002340739A1,1,0,0,1,0,0,0
US10293814,0,0,1,0,0,0,0
US20180354496A1,0,0,1,0,0,0,0
US20180274662A1,0,0,1,0,0,0,0
US10065640,0,0,1,0,0,0,0
DE102017127109A1,0,0,1,0,0,0,0
US9630613,0,0,1,0,0,0,0
US10124756,0,0,1,0,0,0,0
DE102018104418A1,0,0,1,0,0,0,0
US9744842,0,0,1,0,0,0,0
US9108501,0,0,1,0,0,0,0
DE10204982A1,0,0,1,0,0,0,0
US7130734,0,0,1,0,0,0,0
EP2500203A3,0,0,1,0,0,0,0
US9168824,0,0,1,0,0,0,0
US20170261045A1,0,0,1,0,0,0,0
US8844659,0,0,1,0,0,0,0
US20180245640A1,0,0,1,0,0,0,0
DE102017210571A1,0,0,1,0,0,0,0
US9506505,0,0,1,0,0,0,0
US8255132,0,0,1,0,0,0,0
US9441679,0,0,1,0,0,0,0
US10286896,0,0,1,0,0,0,0
US10173515,0,0,1,0,0,0,0
US9783192,0,0,1,0,0,0,0
WO2014040689A1,0,0,1,0,0,0,0
US9770971,0,0,1,0,0,0,0
KR1020130065419A,0,0,1,0,0,0,0
US9568082,0,0,1,0,0,0,0
CN107054054A,0,0,1,0,0,0,0
WO2019120372A1,0,0,1,0,0,0,0
US9662966,0,0,1,0,0,0,0
US9849874,0,0,1,0,0,0,0
US9321341,0,0,1,0,0,0,0
US9776627,0,0,1,0,0,0,0
US20190047399A1,0,0,1,0,0,0,0
EP2289751B1,0,0,1,0,0,0,0
EP1020318A3,0,0,1,0,0,0,0
CN107264260A,0,0,1,0,0,0,0
US9663094,0,0,1,0,0,0,0
US5823281,0,0,1,0,0,0,0
US6910493,0,0,1,0,0,0,0
US20160214598A1,0,0,1,0,0,0,0
US20180290534A1,0,0,1,0,0,0,0
US9829052,0,0,1,0,0,0,0
DE102017128882A1,0,0,1,0,0,0,0
DE102018108393A1,0,0,1,0,0,0,0
KR101339242B1,0,0,1,0,0,0,0
DE102012203576A1,0,0,1,0,0,0,0
DE102018129258A1,0,0,1,0,0,0,0
CN107303807A,0,0,1,0,0,0,0
US9005076,0,0,1,0,0,0,0
EP3507518A1,0,0,1,0,0,0,0
US8676414,0,0,1,1,0,0,0
US10424136,0,0,1,0,0,0,0
US20180015818A1,0,0,1,0,0,0,0
US9108505,0,0,1,0,0,0,0
US10024374,0,0,1,0,0,0,0
DE102015216379A1,0,0,1,0,0,0,0
US20190093712A1,0,0,1,0,0,0,0
US9656658,0,0,1,0,0,0,0
DE102013219870A1,0,0,1,0,0,0,0
CN106828071A,0,0,1,0,0,0,0
US9463785,0,0,1,0,0,0,0
US8897946,0,0,1,0,0,0,0
US8210296,0,0,1,0,0,0,0
US9333848,0,0,1,0,0,0,0
US9540006,0,0,1,0,0,0,0
US9821646,0,0,1,0,0,0,0
US9637890,0,0,1,0,0,0,0
US9688267,0,0,1,0,0,0,0
CN108302133A,0,0,1,0,0,0,0
DE102017129270A1,0,0,1,0,0,0,0
US9387754,0,0,1,0,0,0,0
US9944278,0,0,1,0,0,0,0
WO2014155263A1,0,0,1,0,0,0,0
DE102017005229A1,0,0,1,0,0,0,0
EP0847485B1,0,0,1,0,0,0,0
US20060276288A1,0,0,1,0,0,0,0
WO2013141259A1,0,0,1,0,0,0,0
US4646896,0,0,1,0,0,0,0
US10337574,0,0,1,0,0,0,0
EP2734391B1,0,0,1,0,0,0,0
CN109532457A,0,0,1,0,0,0,0
US20190232939A1,0,0,1,0,0,0,0
US10155509,0,0,1,0,0,0,0
DE102008008863A1,0,0,1,0,0,0,0
DE3338548A1,0,0,1,0,0,0,0
FR3001685B1,0,0,1,0,0,0,0
US9145962,0,0,1,0,0,0,0
US6281646,0,0,1,0,0,0,0
SE539232C2,0,0,1,0,0,0,0
CN109591571A,0,0,1,0,0,0,0
WO2019158147A1,0,0,1,0,0,0,0
EP2896542B9,0,0,1,0,0,0,0
US7641583,0,0,1,0,0,0,0
WO2015036823A1,0,0,1,0,0,0,0
US9840249,0,0,1,0,0,0,0
US9908522,0,0,1,0,0,0,0
US9527377,0,0,1,0,0,0,0
US10018234,0,0,1,0,0,0,0
US9568080,0,0,1,0,0,0,0
US10344811,0,0,1,0,0,0,0
US9592818,0,0,1,0,0,0,0
CN107901749A,0,0,1,0,0,0,0
US9975545,0,0,1,0,0,0,0
RU165640U1,0,0,1,0,0,0,0
US9421858,0,0,1,0,0,0,0
US10220834,0,0,1,0,0,0,0
US9919699,0,0,1,0,0,0,0
WO2017068256A1,0,0,1,0,0,0,0
US10316955,0,0,1,0,0,0,0
US7766779,0,0,1,0,0,0,0
US10272330,0,0,1,0,0,0,0
FR2820179B1,0,0,1,0,0,0,0
US6158405,0,0,1,0,0,0,0
JP3070452B2,1,0,0,1,0,0,0
JP3384719B2,1,0,0,1,0,0,0
JP1979027687Y2,1,0,0,1,0,0,0
JP2004067021A,1,0,0,1,0,0,0
JP3558277B2,1,0,0,1,0,0,0
JP3556530B2,1,0,0,1,0,0,0
JP2004306646A,1,0,0,1,0,0,0
JP2007104764A,1,0,0,1,0,0,0
JP1969014244Y1,1,0,0,1,0,0,0
JP1979027686Y2,1,0,0,1,0,0,0
JP2006159974A,1,0,0,1,0,0,0
JP2006341725A,1,0,0,1,0,0,0
JP5123015B2,1,0,0,1,0,0,0
JP2007203999A,1,0,0,1,0,0,0
JP1994022537U,1,0,0,1,0,0,0
JP2018172093A,1,0,0,1,0,0,0
JP6265096B2,1,0,0,1,0,0,0
JP1990043029B2,1,0,0,1,0,0,0
JP2015220830A,1,0,0,1,0,0,0
JP5720185B2,1,0,0,1,0,0,0
JP6054041B2,1,0,0,1,0,0,0
JP3571990B2,1,0,0,1,0,0,0
JP3622582B2,1,0,0,1,0,0,0
JP5487317B2,1,0,0,1,0,0,0
JP2017034736A,1,0,0,1,0,0,0
JP3884421B2,1,0,0,1,0,0,0
JP1991239631A,1,0,0,1,0,0,0
JP2004243838A,1,0,0,1,0,0,0
JP1998000949A,1,0,0,1,0,0,0
JP1982059124U,1,0,0,1,0,0,0
JP2009261093A,1,0,0,1,0,0,0
JP2012071731A,1,0,0,1,0,0,0
JP6551276B2,1,0,0,1,0,0,0
JP3797410B2,1,0,0,1,0,0,0
JP3622748B2,1,0,0,1,0,0,0
JP3691720B2,1,0,0,1,0,0,0
FR3044610B1,1,0,0,1,0,0,0
US9896088,0,0,1,0,0,0,0
US20190077259A1,0,0,1,0,0,0,0
US10399560,0,0,1,0,0,0,0
US20190009664A1,0,0,1,0,0,0,0
US20180370345A1,0,0,1,0,0,0,0
DE3737192C2,0,0,1,0,0,0,0
DE102019101442A1,0,0,1,0,0,0,0
US9745722,0,0,1,0,0,0,0
US9545917,0,0,1,0,0,0,0
EP3386789A1,0,0,1,0,0,0,0
US7238132,0,0,1,0,0,0,0
US20170023070A1,0,0,1,0,0,0,0
US8091660,0,0,1,0,0,0,0
US9950607,0,0,1,0,0,0,0
DE102018108392A1,0,0,1,0,0,0,0
EP2125471A2,0,0,1,0,0,0,0
CN106976388A,0,0,1,0,0,0,0
US5935035,0,0,1,0,0,0,0
DE102015010331A1,0,0,1,0,0,0,0
US20180231066A1,0,0,1,0,0,0,0
US9669823,0,0,1,0,0,0,0
DE548412C,0,0,1,0,0,0,0
US8845469,0,0,1,0,0,0,0
US8930101,0,0,1,0,0,0,0
US9945446,0,0,1,0,0,0,0
US10315507,0,0,1,0,0,0,0
US20190143961A1,0,0,1,0,0,0,0
US6300735,0,0,1,0,0,0,0
US10343509,0,0,1,0,0,0,0
GB340348A,0,0,1,0,0,0,0
WO2018158516A1,0,0,1,0,0,0,0
US20180304737A1,0,0,1,0,0,0,0
CN108340765A,0,0,1,0,0,0,0
US9352741,0,0,1,0,0,0,0
US20170050506A1,0,0,1,0,0,0,0
US10112602,0,0,1,0,0,0,0
US10384671,0,0,1,0,0,0,0
DE102018101019A1,0,0,1,0,0,0,0
WO2017110427A1,0,0,1,0,0,0,0
US9688265,0,0,1,0,0,0,0
US6877575,0,0,1,0,0,0,0
DE526676C,0,0,1,0,0,0,0
WO2019142036A1,0,0,1,0,0,0,0
US10059190,0,0,1,0,0,0,0
DE102015208737A1,0,0,1,0,0,0,0
CN108859730A,0,0,1,0,0,0,0
CN109572398A,0,0,1,0,0,0,0
US9463688,0,0,1,0,0,0,0
US9856974,0,0,1,0,0,0,0
US20180050680A1,0,0,1,0,0,0,0
US9446669,0,0,1,0,0,0,0
EP3159200A1,0,0,1,0,0,0,0
US10174483,0,0,1,0,0,0,0
US9216641,0,0,1,0,0,0,0
US10227068,0,0,1,0,0,0,0
WO2017162328A1,0,0,1,0,0,0,0
US10173516,0,0,1,0,0,0,0
US9017200,0,0,1,0,0,0,0
CN108248366A,0,0,1,0,0,0,0
CN108019442A,0,0,1,0,0,0,0
US10195930,0,0,1,0,0,0,0
US20180264924A1,0,0,1,0,0,0,0
DE102016002868A1,0,0,1,0,0,0,0
US9322378,0,0,1,0,1,0,0
US10107390,0,0,1,0,1,0,0
DE102017209393A1,0,0,1,0,1,0,0
US10099575,0,0,1,0,1,0,0
US10131342,0,0,1,0,1,0,0
US20190152480A1,0,0,1,0,1,0,0
US20190040833A1,0,0,1,0,1,0,0
DE102016202719A1,0,0,1,0,1,0,0
DE102015108067A1,0,0,1,0,1,0,0
US20140012473A1,0,0,1,0,1,0,0
DE102016206425A1,0,0,1,0,1,0,0
JP4429372B2,0,1,0,1,0,0,0
JP4277787B2,0,1,0,1,0,0,0
US20190039602A1,0,0,1,0,1,0,0
US9969383,0,0,1,0,1,0,0
DE102016125003A1,0,0,1,0,1,0,0
US20190047549A1,0,0,1,0,1,0,0
DE102015208822A1,0,0,1,0,1,0,0
DE102017108655B3,0,0,1,0,1,0,0
DE102017207193A1,0,0,1,0,1,0,0
DE102018200569B3,0,0,1,0,1,0,0
US10160445,0,0,1,0,1,0,0
US7193344,1,0,0,1,0,0,0
AU2002332237A1,1,0,0,1,0,0,0
US20090192013A1,1,0,0,1,0,0,0
DE102012022910A1,1,0,0,1,0,0,0
JP5128537B2,0,1,0,1,0,0,0
JP5312999B2,0,1,0,1,0,0,0
DE102017101961A1,1,0,0,1,0,0,0
US8430190,1,0,0,1,0,0,0
WO2019170368A1,1,0,1,0,0,0,0
WO2018153399A1,1,0,1,0,0,0,0
JP2018184103A,1,0,1,0,0,0,0
JP2019104295A,1,0,1,0,0,0,0
JP1992095666U,1,0,1,0,0,0,0
JP1997163507A,1,0,1,0,0,0,0
DE602004006361T2,1,0,1,0,0,0,0
WO2009074485A3,1,0,1,0,0,0,0
JP2000094973A,1,0,1,0,0,0,0
JP2002112592A,1,0,1,0,0,0,0
JP2010006263A,1,0,1,0,0,0,0
USR46017,1,0,1,0,0,0,0
JP2007331632A,1,0,1,0,0,0,0
JP2011031698A,1,0,1,0,0,0,0
JPWO2013121525A1,1,0,1,0,0,0,0
JP2012228923A,1,0,1,0,0,0,0
JP2019043547A,1,0,1,0,0,0,0
JP1975019103U,1,0,1,0,0,0,0
JP2003260942A,1,0,1,0,0,0,0
JP2012030727A,1,0,1,0,0,0,0
WO2008071151A1,1,0,1,0,0,0,0
JP2000224712A,1,0,1,0,0,0,0
US7472769,1,0,1,0,0,0,0
TH114881A,1,0,1,0,0,0,0
JP5416494B2,1,0,1,0,0,0,0
DE102016206735A1,1,0,1,0,0,0,0
WO2009130951A1,1,0,1,0,0,0,0
US8779639,1,0,0,1,0,0,0
EP3363671B1,1,0,1,0,0,0,0
WO2019025396A1,1,0,1,0,0,0,0
DE102008064810A1,1,0,1,0,0,0,0
CN209320682U,1,0,1,0,0,0,0
JP3586225B2,1,0,1,0,0,0,0
JP3670253B2,1,0,1,0,0,0,0
JP2000225860A,1,0,1,0,0,0,0
JP2019111995A,1,0,1,0,0,0,0
JP1998104607A,1,0,1,0,0,0,0
BRPI0511214A2,1,0,1,0,0,0,0
JP4411811B2,1,0,1,0,0,0,0
JP4156583B2,1,0,1,0,0,0,0
CN100368224C,1,0,1,0,0,0,0
JP2000255285A,1,0,1,0,0,0,0
JP1997310628A,1,0,1,0,0,0,0
JP2007261302A,1,0,1,0,0,0,0
JP3952005B2,1,0,1,0,0,0,0
JP4055297B2,1,0,1,0,0,0,0
JP3559889B2,1,0,1,0,0,0,0
JP3588673B2,1,0,1,0,0,0,0
JP2008137650A,1,0,1,0,0,0,0
JP3870568B2,1,0,1,0,0,0,0
JP2005163807A,1,0,1,0,0,0,0
JP2016155498A,1,0,1,0,0,0,0
JP2000320663A,1,0,1,0,0,0,0
WO2018163949A1,1,0,1,0,0,0,0
JP2012511463A,1,0,1,0,0,0,0
JP5467197B2,1,0,1,0,0,0,0
JP2015043735A,1,0,1,0,0,0,0
JP6167038B2,1,0,1,0,0,0,0
JP2018179261A,1,0,1,0,0,0,0
JP5978961B2,1,0,1,0,0,0,0
DE102013002330A1,1,0,1,0,0,0,0
JP2003063264A,1,0,1,0,0,0,0
JP2009035241A,1,0,1,0,0,0,0
JP2000257656A,1,0,1,0,0,0,0
DE102008015225A1,1,0,1,0,0,0,0
JPWO2017142046A1,1,0,1,0,0,0,0
JP3700855B2,1,0,1,0,0,0,0
JP2003063261A,1,0,1,0,0,0,0
WO2018153402A1,1,0,1,0,0,0,0
CN209320681U,1,0,1,0,0,0,0
US6881169,1,0,1,0,0,0,0
JP2007186199A,1,0,1,0,0,0,0
JP3216076B2,1,0,1,0,0,0,0
JP1990003101U,1,0,1,0,0,0,0
FR2216786A5,1,0,1,0,0,0,0
JP1999240350A,1,0,1,0,0,0,0
US10391852,1,0,1,0,0,0,0
US10391851,1,0,1,0,0,0,0
JP2019137233A,1,0,1,0,0,0,0
JP1996318746A,1,0,1,0,0,0,0
IN10540DELNP2013A,1,0,1,0,0,0,0
TH115587A,1,0,1,0,0,0,0
JP1999150804A,1,0,1,0,0,0,0
JP1995277014A,1,0,1,0,0,0,0
SE541413C2,1,0,1,0,0,0,0
DE112017006285T5,1,0,1,0,0,0,0
DE102015215822A1,1,0,1,0,0,0,0
WO2018111481A1,1,0,1,0,0,0,0
CN109866602A,1,0,1,0,0,0,0
US6296593,1,0,1,0,0,0,0
CN110290957A,1,0,1,0,0,0,0
CN110290958A,1,0,1,0,0,0,0
WO2018163948A1,1,0,1,0,0,0,0
EP3532324A1,1,0,1,0,0,0,0
CN209320680U,1,0,1,0,0,0,0
JP2012201117A,1,0,1,0,0,0,0
JP6120565B2,1,0,1,0,0,0,0
JP3287943B2,1,0,1,0,0,0,0
JP2000324606A,1,0,1,0,0,0,0
JP3011068B2,1,0,1,0,0,0,0
JP2001180312A,1,0,1,0,0,0,0
JP4992457B2,1,0,1,0,0,0,0
JP3629890B2,1,0,1,0,0,0,0
JP2000240481A,1,0,1,0,0,0,0
JP3572979B2,1,0,1,0,0,0,0
JPWO2017131134A1,1,0,1,0,0,0,0
BRPI0511232A2,1,0,1,0,0,0,0
JP2001241545A,1,0,1,0,0,0,0
US6554736,1,0,1,0,0,0,0
JP6087967B2,1,0,1,0,0,0,0
JP4409551B2,1,0,1,0,0,0,0
WO2019034551A1,1,0,1,0,0,0,0
CN110290959A,1,0,1,0,0,0,0
EP2592731A1,1,0,1,0,0,0,0
CN209320676U,1,0,1,0,0,0,0
